titulo,valor
Toalha de Mesa / Pedrinha de Cor / Idade de Fazer Bobagem / Marina / Balada Nº 7 / O Neguinho e a Senhorita / Volta por Cima,5473
"Na rua, na chuva, na fazenda (Casinha de sapê) ",5466
Peito Vazio,5459
Oyá,5415
Oxossi / Citação: Ponto De Oxossi,5415
Vai Embora Tristeza,5404
"Merece Respeito / Miudinho Meu Bem, Miudinho",5396
Quando Eu Contar (Iaiá),5384
Diz Que Fui Por Aí,5382
Agenda,5366
Carolina,5358
Andança,5346
Do Jeito Que a Vida Quer,5344
A Grande Família,5313
Isso É Fundo De Quintal,5304
Coisa De Pele,5304
Tive Sim,5302
Água de Chuva No Mar,5294
Sou Eu,5289
Eu Mereço Ser Feliz,5287
Fogueira de uma Paixão,5283
Tô Voltando,5281
Se Você Jurar,5270
Falso Amor Sincero,5258
Te Gosto,5258
Zé Do Caroço,5253
Novos Tempos,5245
Se Leonardo da vinte,5242
Fases do Amor,5238
Realidade,5233
Boca Sem Dente / Eu Não Fui Convidado,5216
A Pureza da Flor,5216
As Forças Da Natureza,5209
Preciso Me Encontar / Citação: Melodia Sentimental,5191
Tristeza,5185
Lucidez / Falso Herói,5166
Meu Drama (Senhora Tentação),5154
Na minha veia,5154
Yaô,5150
Incompatilidade De Gênios,5145
Apelo / Sinuca de Bico / Trapaças do Amor,5143
Enredo Do Meu Samba,5143
O Bingo,5135
Foi Um Rio Que Passou Em Minha Vida,5114
Feitiço da Vila,5104
Meu Poeta (feat. Zeca Pagodinho),5100
Nem Vem Que Não Tem,5100
Desde Que O Samba É Samba,5094
"Malandro É Malandro, Mané É Mané ",5087
Fatalmente / Separação / Temporal (Ao Vivo),5076
Perfume de Champagne,5069
Parabéns Pra Você,5065
Vôo de Paz,5060
Romance dos Astros / Arco,5041
Fada,5023
A Rita,5020
"Nem Ouro, Nem Prata",5013
Quando o Morcego Doar Sangue,5002
Eu Vou Chegando,5001
Minta Meu Sonho,4998
Ângela,4994
Laço Da Paixão,4986
Onde a Dor Não Tem Razão,4970
O Sol Nascerá (Á Sorrir),4968
Enredo Do Meu Samba,4963
Você Quer Voltar,4960
Pirata e tesouro,4943
Essência da Paixão,4941
Facho da Esperança / Nascente da Paz / Poesia de Nós Dois,4934
Realidade / Parabéns Pra Você,4924
A Volta do Boêmio,4923
Candidato Caô Caô,4918
Tchau e Bença,4904
Tiro ao Álvaro,4899
É sempre assim,4897
Partilha,4883
Tô Fazendo A Minha Parte,4877
Abrigo De Vagabundo,4876
Pai Véio 171,4872
Caviar,4870
Favela,4860
Caviar,4854
Termina aqui,4823
Cerveja De Garrafa (Fumaça Que Eu Faço),4819
No Morro Da Casa Verde,4814
1800 colinas,4811
Trapaças do amor,4777
Uma Prova De Amor,4773
Com Que Roupa,4771
Eu Canto Samba,4767
Jogo de Azar,4764
Coisas Banais,4763
Fala Baixinho (Shiii),4752
Bar Da Neguinha,4745
O Destino de Maria,4713
Já É,4704
Coração Em Desalinho / Não Quero Mais Saber Dela / Caxambu,4685
Laranja Madura,4666
Recado a minha amada,4665
Pé Na Areia,4662
Agora Viu Que Perdeu E Chora / Mulher Não Manda Em Homem,4635
Oyá (Canto de oração),4627
Diz Que Fui por Aí,4626
Cotidiano,4622
Judia de Mim,4619
Termina Aqui,4611
Meu Bom Juiz,4609
Tia Anastácia,4607
Meu Oceano,4600
Lancinho,4591
O Meu Guri,4582
Paixão Sem Dor / Frasco Pequeno / Tudo ou Nada (Ao Vivo),4581
Nomes De Favela,4576
Pixote,4570
De Sampa a São Luis,4564
Dura Missão,4541
Camisa 10,4536
Fé Em Deus,4534
Deixa em Off,4534
Chô Chuá (Cada Macaco No Seu Galho),4531
Vai Vadiar / Coração Em Desalinho,4521
Com a Perna No Mundo,4515
É tanta,4500
Sonhos (feat. Reinaldo),4499
Moleque Bom / Moro Lá / Roçado,4487
Sangrando,4476
Amor não é por aí,4474
Na Beira do Mar,4472
"Medley Ataulfo Alves: Leva Meu Samba / Atire a Primeira Pedra / Ai, Que Saudade da Amélia / Sei Que É Covardia / Pois É / Laranja Madura / Na Cadência do Samba",4467
Nova Esperança,4467
Nosso Grito,4464
Festa de Umbanda,4463
Não Pedi Pra Me Apaixonar,4462
Apelo,4462
Ô Isaura,4453
Talvez,4449
Canto de Rainha,4449
Estrela Da Paz,4447
De Frente Pro Crime,4430
Prazer da Serrinha,4428
Segure Tudo,4423
A Loba,4422
Livre para Sonhar,4421
Não Tá Nem Aí,4421
Hoje Vou Pagodear: Bate Tan Tan,4418
Poout Pourri: a,4415
Samba de Ninar,4414
Sem Essa De Malandro Agulha,4404
Um dia,4398
Samba no Quintal,4390
Chegamos ao Fim / Fim da Tristeza / Além do Meu Querer,4387
Ai Que Saudades da Amélia,4385
Acontece,4383
Nascente,4372
A Pureza Da Flor,4370
Colcha de algodão,4358
Dependente Do Amor,4357
Madalena,4353
Além De Tudo,4343
Chô Chuá (Cada Macaco no Seu Galho),4340
Pout pourri: Pedaços / Sentimento nú,4318
Gostava Tanto de Você,4314
Guardei Minha Viola,4310
Minha Missão,4310
Alvará,4308
Agora Viu Que Perdeu e Chora (feat. Reinaldo),4303
O Mar Serenou,4301
Coração Blindado,4287
Batuque Na Cozinha,4278
Amor Com Certeza,4269
Olha o samba sinhá (Samba de roda),4263
Você Passa Eu Acho Graça,4262
Nosso fogo,4257
Homenagem Ao Malandro,4251
Amar É Bom / Responde / Caidinho / Tudo É Festa / Parabéns pra Você,4233
Você Abusou,4225
Reconvexo,4221
Vai por Mim,4215
Deixa Isso Pra Lá,4215
Oyá / Tô a Bangu,4215
Preciso Te Amar,4213
Deixe Estar,4209
Minha Fe,4207
Clube Do Samba,4200
Quintal do céu,4197
"Pot Pourri: Chuá, Chuá/ Fui Passear No Norte/ Moema Morenou/ Baiana Serrana/ Serei Teu Iô",4193
Mensagem,4188
Menina Moça,4182
Água de chuva no mar,4180
Coraçao Feliz,4174
Tem Gente Que Não Vê,4172
Conversa De Botequim,4163
Reza forte / Mocoto e meu,4163
Pega Eu,4162
O bêbado e a equilibrista,4158
"Rosalina / Vai Lá, Vai Lá",4147
"Vai lá, vai lá ",4146
Quem é do Mar Não Enjoa,4145
Vou cuidar de mim,4144
Oitava Cor,4127
Madalena do Jucu,4127
Apaga O Fogo Mané,4126
O Sol e a Brisa,4125
Tragédia No Fundo Do Mar (O Assassinato Do Camarão),4110
Falando Segredo,4102
Você abusou,4088
Alegria,4088
Passe Bem,4086
Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),4083
A Reza do Samba,4081
Goiabada Cascão / Coisa Antiga / Tempo de Don Don (feat. Toque de Prima),4080
Rendição,4077
Desde Que o Samba é Samba,4077
É Preciso Cantar,4069
É No Pagode,4051
Se Ela Não Gosta de Mim,4047
Mande um Sinal,4044
Mutirão De Amor,4039
Avião / Fato Consumado,4037
Moro na roça (feat. Xandy de Pilares),4032
Alvara,4023
Mulher Brasileira,4010
Tímida Tentação,4007
Acreditar / Sonho Meu / Coração Em Desalinho / Deixa A Vida Me Levar,3998
A Vaca,3990
Mina Do Condomínio,3985
Estranhou O Quê?,3982
Eternamente Feliz,3980
Sorriso De Criança,3980
Antigas Paixões,3976
Casal Sem Vergonha,3972
Pimenta No Vatapá,3967
Brilho De Cristal / Vergonha Na Cara,3966
"Amor, Agora Não",3958
Não Tão Menos Semelhante,3958
Nosso Fogo,3954
Menina Da Colina / Nosso Gritto,3953
Retrato Cantado de Amor / Meiguice Descarada / Brilho no Olhar / Pra Ser Minha Musa,3952
Eu Sou De Jorge,3943
Vivo Isolado Do Mundo,3940
Mineirinho / Sai da Minha Aba (Bicão),3937
Alvorecer,3921
Xequeré,3914
Amor De Verdade,3912
Batendo a Porta,3909
Lama,3907
"Quem Te Viu, Quem Te Vê ",3904
Um Velho Malandro de Corpo Fechado,3903
Saudade Louca (Versão 2),3897
Descobridor Dos Sete Mares,3890
Tô Legal,3888
Velho Ditado,3883
SPC,3882
Só Chora Quem Ama,3880
Alô Madureira,3875
Mole Que Nem Manteiga (feat. Zeca Pagodinho & Almir Guineto),3863
Verdadeira Chama / Levada Desse Tantã,3862
Sonho Juvenil (Garoto Zona Sul),3858
Laços do Desamor,3854
Não Sou Mais Disso / Tristeza,3853
Mal Acostumada,3841
A Oitava Cor,3841
"É Pois, É",3836
Lenço,3831
Luz Negra,3827
Feitiço da Vila,3821
Vou Botar Teu Nome na Macumba,3818
Trem Das Onze,3817
Filosofia de Quintal,3805
Amor Calmo,3794
O homem falou,3792
Nó na Madeira,3790
A Batucada dos Nossos Tantans / Nega Celeste,3776
Meu Mundo É Hoje (Eu Sou Assim),3776
Voce Me Abandonou,3775
Tradição,3767
Entretanto,3766
Fulminante,3750
Quem Me Vê Sorrindo,3745
Do Jeito Que o Rei Mandou,3743
Não Quero Despedida / Separação (feat. Mumuzinho),3738
Esta Melodia,3736
Saudação as Favelas,3735
Aliança das Marés,3735
De Bar em Bar,3730
Doce refúgio,3730
Paparico,3724
Deus Me Livre,3724
Atrás Da Verde E Rosa Só Não Vai Quem Já Morreu,3710
Nó Na Madeira,3708
Que Maravilha,3698
O Mais Belo Dos Belos,3698
Mina De Fé,3694
Moleque atrevido,3691
Mini Saia,3677
SPC / Brincadeira Tem Hora / São José De Madureira,3671
Tô te filmando (Sorria),3658
Prova De Carinho,3652
Quem é Ela?,3651
Ciúme de Você,3648
Vem Pra Mim / Oitava Cor,3641
Taj Mahal / Fio Maravilha / País Tropical,3640
São Gonça,3637
Falso Herói,3637
"Alô, Gatinha!",3636
Pela hora,3622
Refém,3619
Mel pra Minha Dor,3617
Supera,3609
Na Palma da Mão,3604
Guerreira,3600
Fugidinha,3597
Saudosa Maloca,3596
Sonho Meu,3596
Trilha do Amor,3589
Chantagem,3587
Canto De Ossanha,3586
Arrasta a Sandália,3572
Água da Minha Sede,3568
Falsa Alegria,3566
A Saudade Que Ficou,3565
A Sós,3563
Estranha Loucura,3561
Não Penso em Mais Nada,3559
Boca Sem Dente,3551
Na Hora Da Sede,3548
Até Que Durou,3548
Termina Aqui / Amor Maior,3547
Camarão Que Dorme A Onda Leva / São José De Madureira / Dor De Amor,3546
Ouro desça do seu trono / Mil réis,3535
Fora da Ocasião,3531
Menino Sem Juizo,3528
Dona da Minha Sina,3524
Saudade que não se desfaz,3518
