titulo,valor
Ave Maria Cheia de Faces,2506
O Amanhã,2502
Das Savanas Africanas às Savanas de Itaquera,2501
"A Viradouro Canta E Conta Bibi, Uma Homenagem Ao Teatro Brasileiro",2498
"Metamorfoses: ""Do Reino Natural À Corte Popular Do Carnaval ",2492
O Mundo É Uma Bola,2482
Uni,2471
Ilú Ayê,2460
O Maestro Brasileiro Está Na Terra De Noel... A Partitura Azul E Branca Da Nossa Vila Isabel,2453
Paz,2451
Peruche Celebra Martinho / 80 Anos do Dikamba da Vila,2438
"Mato Grosso, Uma Mancha Verde No Coração do Brasil",2432
Candeia! Manifesto Ao Povo Em Forma de Arte,2426
A Voz da Liberdade,2421
Cavaleiro Da Esperança,2408
Sonho de um Sonho,2395
Zé do Brasil. Um Nome e Muitas Histórias,2390
"Ântonio Pitanga, Um Negro Em Movimento",2390
Não Deixe O Samba Morrer,2374
G.R.C.S.E.S. Unidos do Peruche,2347
"Império do Café, O Vale da Esperança",2340
Mercadores de Sonhos,2338
Festa para um Rei Negro,2336
A Saliva do Santo e o Veneno da Serpente,2333
Uma Noite No Museu,2332
O Astro Iluminado Da Comunicação Brasileira,2321
O Sonho Da Criação E A Criação Do Sonho: A Arte Da Ciência No Tempo Do Impossível,2315
De Corpo E Alma Na Avenida,2304
Bahia de Todos os Deuses,2301
O Papel e o Mar,2293
Que Rei Sou Eu?,2292
"Nas Águas Sagradas de Oxum, Iemanjá e Oxála, Camisa Verde da um Banho de Al",2291
Um Caso Por Acaso,2279
"Ipiranga, Berço Esplêndido de um Povo Heróico",2278
"Eu Sou Da Lira, Não Posso Negar",2278
Sonhar Não Custa Nada,2259
A Epopeia de uma Deusa Africana,2253
Acadêmicos do Tatuapé,2251
A Festa do Divino,2223
G.R.E.S. Nenê de Vila Matilde,2197
A Travessia da Calunga Grande e a Nobreza Negra do Brasil,2194
"Anarquistas Sim, Mas Nem Todos",2174
O Mar Serenou,2170
Meu Lugar,2159
"Derrubando Fronteiras, Conquistando Liberdade.... Rio De Paz Em Estado De Graça!",2158
Martin Cererê,2154
G.R.C.E.S Leandro de Itaquera,2142
Com Que Roupa... Eu Vou? Pro Samba Que Você Me Convidou,2140
Arte À Flor da Pele. A Minha História Vai Marcar Você,2134
Skindô Skindô,2121
Utopia / É Preciso Acreditar,2120
Açai Guardiã do Amor de Iaça Ao Esplendor de Belém do Pará,2112
"Canta Canta, Minha Gente",2111
Eu Vou De Mocidade Com Samba E Rock In Rio,2105
Gbala,2100
