titulo,valor
"A Batucada dos Nossos Tantãns / Vai Lá, Vai Lá (feat. Grupo Fundo De Quintal) ",2008
Não muda,1998
Desengano,1998
Meu Oceano,1996
Coral de anjos,1993
Rola um Love (Ao Vivo) (feat. MC KEVINHO & Dennis DJ),1990
Modo Avião,1990
Eu Vou,1990
Homem Perfeito,1990
Xinga Aí / Cuidado,1984
Popará,1979
É na madrugada,1977
Anjo Meu,1975
Me Deixa pra Lá,1973
Na Voz do Povo,1967
Meu Jeito de Amar,1967
Deixa Clarear,1959
Já Que Tá Gostoso Deixa (Mata Papai),1956
Degradê,1956
O Amor É Mais,1953
Além De Tudo / Retalhos De Cetim / Charlie Brown,1952
Nosso Grito,1938
Tudo Tem Saída,1936
A Loba,1929
Desejo De Amar,1927
Anjos Guardiões de Amor,1924
Trilha Do Amor,1915
Ligando os Fatos / Deixa Eu Te Querer / Desse Jeito É Ruim pra Mim,1912
Língua dos Anjos (Francesa),1911
Chegamos Ao Fim,1907
Me Olha Nos Olhos,1906
22 Minutos / Sintomas de Amor,1904
Pai de menina,1899
Tá de Parabéns,1888
Ponto Final / Ponto Fraco,1888
"Ôa, Ôa (Canção de Amor) / Valeu Demais ",1887
Vai Babar / Poder de Sedução,1882
Insensato Destino / Sonho Meu / Judia de Mim / A Pureza da Flor / Malandro Sou Eu,1880
O Melhor Pedaço,1877
Camarão Que Dorme A Onda Leva,1873
Graca,1870
Indomável (Participação especial de Belo),1868
Dom De Sonhar,1865
Teu Sorriso,1853
Fica Com Deus,1851
Mil flores,1850
Aventureiro / Velocidade Da Luz,1847
Combinado Não Sai Caro,1846
O Bem,1845
Alguém Me Avisou / Saco Cheio / Bebeto Loteria,1838
Fica,1836
Na Ponta Ela Fica,1835
Faveladona,1834
Antes Só do Que Mal Apaixonado,1833
Ô Queiroz,1832
Pressentimento Bom / Fatalmente,1830
Maravilha te Amar,1823
Beijo Doce,1823
Casa Azul,1820
Indiferença,1819
Não Tem Hora e Nem Lugar,1814
Todo Seu,1813
Meu Oceano,1812
Tem Que Provar Que Merece,1812
Sem Vergonha,1811
Maneiras,1807
Nuvens de Algodão,1801
Telegrama / Megastar / Lua Vai / Eternamente / Pela Vida Inteira / Derê,1796
Luz Do Desejo,1788
Faz Falta,1786
Direito de Te Amar,1784
Medley: A Pessoa Certa / Traição / Modo Avião / Pode Me Chamar de Mô,1776
Lugar Que Eu Quero Morar,1774
O Que É o Amor,1771
Logo Dou um Jeito,1765
Pago Pra Ver,1765
Encaixe Perfeito,1763
Curto Circuito / Fala / Te Amo,1762
Cartão Postal / Preciso de Amor / Eu Nasci pra Te Amar,1760
Por Você,1756
Primeiro Beijo,1756
Astronauta,1752
Adivinha,1750
Duas Vidas Num Só Ideal,1748
Quem Ama Não Pisa,1748
Dona Dos Meus Sonhos,1745
Vai Vadiar,1737
Décimo Andar,1736
Porradão,1736
Já Era,1736
Envolvidão,1733
O amor não tem culpa,1732
Mania de Pegar Mulher (feat. Turma do Pagode),1727
Coração Deserto,1727
A Paz Que Faltava (feat. Mumuzinho),1725
Rolo Compressor,1723
Diz pra Mim,1721
Ponto Final,1720
Saideira,1720
Negaboy,1717
Meu Mundo Caiu,1717
Já Tentei,1717
A paz (Participação especial de Reinaldo),1715
Quarto 03,1712
Novos Tempos,1709
Tentei Ser Incrível / Pela Vida Inteira,1707
Medley: Fã de Carteirinha / Meu Amor / Idem / Nem de Graça,1705
12 de Junho,1698
Pai,1697
Se Eu Largar o Freio,1695
Poupa Meu Tempo,1694
Fim Da Tristeza,1693
Linda De Mar,1687
Desafio,1685
Te amar demais,1685
Tu Mandas no Meu Coração / Minha Metade,1684
Teste De Conhecimento,1678
Desafio / Farol das Estrelas,1676
Depois do Amor (feat. Perlla),1675
Compasso do Amor,1675
Preciso De Amor / Desejo Contido / Sem O Teu Calor,1672
Pega pega (Participação especial de Jojo Maronttinni),1669
"Hey, Mundo!",1668
Pela Hora,1668
Só por um Momento,1666
Toda Hora é Hora,1665
Tô Brisando Em Você / Luz Na Escuridão,1662
Não Foi a Toa / Imaginação,1659
Vem Morar Comigo,1658
Verdade,1652
Crise,1652
Samba Blues,1650
Na Cama,1648
Leite Condensado,1647
Love no Cafofo (Ao Vivo),1647
Muita Calma Nessa Hora,1635
Mineirinho / Sai da Minha Aba (Bicão),1634
Aventureiro,1634
Taj Mahal / Fio Maravilha / País Tropical,1632
Confie Em Mim,1631
Antes De Dizer Adeus / Farol De Estrelas,1631
Ioiô (Ao Vivo) (feat. Ivete Sangalo),1630
Ainda Gosto de Você,1629
Desafio,1627
Me Desculpe a Franqueza,1627
Ela,1622
Eu Não Consigo Sem Você,1621
Noite Perfeita,1618
Pensa Bem,1617
Hoje a Noite É Nossa,1616
Céu Azul / Andei Só (Ao Vivo),1616
Nada de Pensar Em Despedida,1605
Cavalheiro Sonhador,1600
Na Boca do Povo,1594
Isso é que Dá,1592
Será Que Vale a Pena,1592
Momentos / Tempo De Aprender,1590
Tanta Coisa Pra Falar,1589
Resumo De Felicidade,1587
A Gente Se Prometeu,1587
Nem Liga pra Mim,1585
Ela Me Disse / Ela Não Vale Nada,1583
Chopp garotinho / Casa azul / Mar de felicidade,1583
Sua Mãe Vai Me Amar,1583
Mais Que Amigo / Nuance / Acordar Com Você,1580
Ogum,1575
Puxadinho (Ao Vivo),1573
Mega Star,1569
Medley: Não Tem Perdão / Ainda Existe Amor em Nós / Ainda Gosto de Você / Sinais,1567
Carona do Amor,1565
Eu Vacilei / Beijo Doce / Graça / Acaba Tudo Bem / É Diferente,1565
Isso É Que Dá,1564
Coração Em Desalinho,1558
Ele e Ela,1553
Loucura do Seu Coração,1552
Já Tentei / Que Dure para Sempre,1552
Livre Pra Pra Voar / Climatizar / Desencana (Ao Vivo),1552
